hotelName,cityName,stars,price,countryName,address
Protea Wilds Retreat Knysna,Knysna,3,50,South Africa,PO Box 1386
Guesthouse Stratos,Jeffreys Bay,3,42,South Africa,11 Uys Street
Sandriver Lodge,Saint Francis Bay,2,72,South Africa,144 St Francis Drive
Big Brook Cottages,Channybearup,4,99999,Australia,489 Stirling Road
Pemberton Farm Chalets,Pemberton,3,139,Australia,PO Box 41 Pemberton WA 6260 Australia
Barossa Weintal Hotel / Motel,Tanunda,4,137,Australia,235 Murray Street
Baybeachfront Apartments,Adelaide,4,126,Australia,742 Anzac Highway
Bower Street Apartment,Adelaide,4,99999,Australia,20 Bower Street
Morphettville Motor Inn,Adelaide,3.5,99999,Australia,444 Anzac Highway South Australia 5038
Norfolk Motor Inn Adelaide,Adelaide,2,82,Australia,71 Broadway Glenelg South
Novotel Barossa Valley Resort,Rowland Flat,4,141,Australia,Golf Links Road
OConnell Inn,Adelaide,4,138,Australia,199 OConnell Street
Stanley Cottage Adelaide,Adelaide,3,99999,Australia,82 Stanley Street
The Louise,Tanunda,4.5,458,Australia,PO Box 219
The Reserve Barossa Valley,Marananga,3,1017,Australia,Lot 62 Seppeltsfield Road
Acorn Cottage,Angaston,4,214,Australia,7 French Street
Portee Station Suites Blanche Town,BlancheTown,4,99999,Australia,Stuart Highway
Lake Cullulleraine RSL Holiday Park Accommodation Mildura,Mildura,2.5,99999,Australia,Riverside Dr Cullulleraine
Murray Haven on Thirteenth Guest House Mildura,Mildura,4,174,Australia,118a Thirtheenth Street
Pied-a-terre Guest House Mildura,Mildura,4,174,Australia,97 Chaffey Avenue
Best Western Wollongong,Wollongong,4,138,Australia,6-10 Gladstone Avenue
Kangaroo Valley Timber Cabin,Kangaroo Valley,4,99999,Australia,390 Mt Scanzi Rd
Peppers Craigieburn,Bowral,4,154,Australia,Centennial Road
Treetops Country Guesthouse,Bundanoon,3,99999,Australia,101 Railway Avenue
La Mirage Parador,Algarrobo,3,91,Chile,Camino a Tunquén s/n Correo de Algar Tunquen
OHiggins Plaza Hotel,Valparaiso,3,99999,Chile,Pastor Willis Hoover 517 (Ex Retamo) Valparaiso
Rincon De Valparaiso,Valparaiso,1,30,Chile,Atahualpa 333
Robinson Crusoe Inn Heritage Valparaiso,Valparaiso,3,99999,Chile,Hector Calvo cerro Bellavista 389
Ah Hotel,Santiago,3,70,Chile,Ismael Valdes Vergara 740
Amoblados Bosque Norte,Santiago,3,99999,Chile,Don Carlos 2898 - Depto Nº 39
Apart Hotel Capelli Express,Santiago,3,89,Chile,San Sebastian 2909
Apart Hotel Monteverde,Santiago,3,58,Chile,Pío Nono 193
ApartHotel CityCenter Moneda Santiago,Santiago,3,65,Chile,Moneda 1541
Casa Real,Santiago,4,99999,Chile,Camino Padre Hurtado - Santiago
Departamentos Amoblados Costa Merced Santiago,Santiago,3,64,Chile,Merced 562 - Torre B Departamento 705
Diego de Velazquez Hotel,Santiago,4,93,Chile,Guardia Vieja 150 Providencia
Great City Apartment,Santiago,3,48,Chile,Catedral 1402
Holiday Inn Santiago Airport,Santiago,5,169,Chile,Armando Cortinez Norte 2150 Pudahuel
Hotel Diego de Almagro Centro,Santiago,4,89,Chile,Av. Libertado B. Ohiggins 1485
Hotel Loreto Santiago,Santiago,3,29,Chile,Loreto 170 Comuna de Recoleta
Hotel Santiago Park Plaza,Santiago,5,120,Chile,Avenida Ricardo Lyon 207 Providencia
Mercure Santiago Ciudad Empresarial,Santiago,4,106,Chile,Av Santa Clara 354 Huechuraba Region Metropolitana
Nilontraro Hostal,Santiago,2,96,Chile,General Flores 238
Opera Apartments 3,Santiago,1,48,Chile,Bulnes 79 - Departamento 33
RQ Providencia Suites,Santiago,4,80,Chile,Diego de Velazquez 2087 Local 2 Providencia
Santiago Furnished Apartments,Santiago,3,76,Chile,Monjitas 744
Soho Santiago Apart,Santiago,3,67,Chile,Calle Miraflores 455
Urbana Street Departamentos,Santiago,3,77,Chile,Cl. Alfredo Barros Errazuriz 1925 Providencia
Hotel Argentino De San Nicolas,San Nicolas de los Arroyos,3,99999,Argentina,Garibaldi 136
1 On Queens Boutique Guest House,Cape Town,4,88,South Africa,1 Queens Road Tamboerskloof
201 Ballinrobe Cape Town,Cape Town,4,234,South Africa,216-219 High Level Road Sea Point
3 Palms Luxury Cottage,Cape Town,4,64,South Africa,25 Disa Road Bloubergrant
Atlanticview Cape Town Boutique Hotel,Cape Town,5,99999,South Africa,31 Francolin Rd Camps Bay
Barry Hall Luxury Apartments,Cape Town,4,44,South Africa,6 Irwinton Road Fresnaye
Camelthorn Lodge,Cape Town,3,99999,South Africa,4 Chas Booth Avenue Camps Bay
Camps Bay Resort,Cape Town,3,73,South Africa,32 Camps Bay Drive Camps Bay
Cape Alexander,Cape Town,4,110,South Africa,201 Alexander Hill Milner Road Tamboerskloof
Cape Heritage Hotel,Cape Town,4,97,South Africa,90 Bree Street
Fahrenheit B&B Cape Town,Cape Town,4,78,South Africa,72b Kloofnek Road Tamboerskloof
Flower Street Villa Guest House Cape Town,Cape Town,4,134,South Africa,3 Flower Street Oranjezicht
Glaston House 206 Apartment Cape Town,Cape Town,3,67,South Africa,63 Church Street City Centre
Glen Boutique Hotel,Cape Town,4,58,South Africa,3 The Glen Sea Point
Highlands Lodge,Cape Town,3,66,South Africa,29 High Street Durbanville
Hotel Graeme,Cape Town,3,99999,South Africa,107 Main Road Green Point
Jardin dEbene Boutique Guesthouse,Cape Town,4,98,South Africa,21 Warren Street Tamboerskloof
Joie de Vivre Country House Paarl,Paarl,3,99999,South Africa,Omuramba Farm Anyswortelrug Road
Maartens Guesthouse,Cape Town,3,63,South Africa,39 Avenue Normandy Fresnaye
Mandalay Beach Guest House,Cape Town,4,64,South Africa,4 Fathom Rd Bloubergstrandt
Marianne Wine Estate Apartments Stellenbosch,Stellenbosch,4,62,South Africa,Valley Road off R44
My Cascades,Langebaan,4,102,South Africa,Kaliva 457 Club Mykonos
Oak Village Bed & Breakfast Stellenbosch,Stellenbosch,3,79,South Africa,7 Hamman Street
Plattekloof Lodge,Cape Town,3,53,South Africa,5 Buchu Close
Port View Guest House Cape Town,Cape Town,3,72,South Africa,13 Upper Portswood Road Green Point
Primi Oxford House Apartments Cape Town,Cape Town,3,57,South Africa,4 Wessels Road Green Point
Protea Hotel Colosseum,Cape Town,4,93,South Africa,Corner Century Way & Century Boulevard PO Box 159
Protea Hotel Stellenbosch,Stellenbosch,3,70,South Africa,Techno Avenue
River Manor Boutique Hotel and Spa Stellenbosch,Stellenbosch,3,119,South Africa,6-8 The Avenue
Rivierbos Guest House Stellenbosch,Stellenbosch,3,49,South Africa,1 Hamman Street
Rusthuiz Guest House,Stellenbosch,4,110,South Africa,13 Piet Retief Street
Soverby Guesthouse,Stellenbosch,4,93,South Africa,Annandale Road Lynedoch
Star Holiday Apartments Cape Town,Cape Town,4,75,South Africa,58 Upper Cambridge Street Walmer Estate
Sugar Hotel Cape Town,Cape Town,5,148,South Africa,1 Main Road Green Point
Sun Bell Lodge,Cape Town,3,68,South Africa,8 Leipoldt Road
The Commodore,Cape Town,4,109,South Africa,Portswood Road Portswood Square V&A Waterfront
The Villa Rosa,Cape Town,3,57,South Africa,277 High Level Road
The Wild Mushroom Boutique Hotel,Stellenbosch,5,114,South Africa,39 Digteby Estate Vlottenburg Road
VIP Living Luxury Hotel Apartments,Cape Town,4,99999,South Africa,Icon Building Cnr Lower Long Street & Hans Strijdom Foreshore
7 Church Street,Montagu,4,83,South Africa,7 Church Street
Fairy Knowe Hotel,Wilderness,3,99999,South Africa,Dumbleton Road
Fancourt,George,5,267,South Africa,Montagu Street Blanco
Loeries View Holiday House Wilderness,Wilderness,4,81,South Africa,Young Terrace Road/Constantia Lane
Wilderness Beach Hotel,Wilderness,3,62,South Africa,National Garden Route Highway N2 PO Box 26
Addo Afrique Estate,Addo,5,217,South Africa,Farm Addo Afrique
Addo Elephant Country Estate Accommodation,Addo,3,99999,South Africa,Main Street
Al-Beit Lodge Port Elizabeth,Port Elizabeth,4,79,South Africa,49 Admiralty Way
Calico Guest House,Port Elizabeth,3,57,South Africa,2 Keiskama Street Summerstrand
Victorian Villa Guest Manor,Port Elizabeth,4,57,South Africa,22-26 Cape Road Mill Park
Idwala Lodge Grahamstown,Grahamstown,4,876,South Africa,Idwala Lodge Sidbury
Margarets Beach Resort,Gnarabup,4,296,Australia,1 Resort Drive
Arrunga Bed & Breakfast Yallingup,Yallingup,2,99999,Australia,47 Sonning Loop
Australis Margaret River,Margaret River,3,157,Australia,Lot 2 Wallcliffe Road
Cape Lodge,Yallingup,5,456,Australia,3341 Caves Road
Caves House Hotel,Yallingup,4,99999,Australia,Yallingup Beach Road
Forte Capeview Beach Apartments Busselton,Busselton,4,169,Australia,Little Colin Street
Margaret House,Margaret River,3,99999,Australia,6 Devon Drive
Margaret River Apartment,Margaret River,3,99999,Australia,109 Bussell Highway MARGARET RIVER
Ocean Drive Motel,Bunbury,3,102,Australia,121 Ocean Drive
Coodlie Park Farm Retreat,Port Kenny,3,99999,Australia,Flinders Highway
Parkview Motor Inn,Parkes,3.5,81,Australia,34 Forbes Road
Chesleigh Homestead Bathurst,Bathurst,3,99999,Australia,Hill End Road Sofala
Turners Vineyard,Orange (Australia),4.5,99999,Australia,Mitchell Highway
Hawkesbury Race Club Motel,Richmond (New South Wales),4,185,Australia,Racecourse Road Clarendon
Avoca Palms Resort Apartments,Avoca Beach,4,396,Australia,194 Avoca Dr
Bakers Treat Bed & Breakfast Belmont (Australia),Belmont (Australia),4,99999,Australia,313 Pacific Highway Belmont North
Blue Pacific Swansea Hotel Blacksmiths,Blacksmiths,3,103,Australia,82 Pacific Highway Little Pelican
Capitol Square Hotel,Sydney,3,95,Australia,Corner George and Campbell Streets
Drummoyne Serviced Apartments,Sydney,3,110,Australia,165-167 Lyons Road Drummoyne
Econo Lodge Sydney South,Sydney,3,56,Australia,40-44 Wentworth Avenue
Four Seasons Hotel Sydney,Sydney,5,229,Australia,199 George Street
Galaxy Motel,West Gosford,4,164,Australia,26 Central Coast Highway West
Hotel Ibis Darling Harbour,Sydney,3,114,Australia,70 Murray Street Darling Harbour
Lake Macquarie Resort Accommodation Cams Wharf,Cams Wharf,3.5,1027,Australia,Wild Duck Drive
Lamrock Lodge,Sydney,2,21,Australia,19 Lamrock Avenue Bondi Beach
Medina Classic Crows Nest Hotel Sydney,Sydney,3.5,99999,Australia,167 Willoughby Road Crows Nest
Meriton Serviced Apartments Bondi Junction,Sydney,5,175,Australia,95 Grafton Street Bondi Junction
Ocean Front Motel The Entrance,The Entrance,4,123,Australia,102 Ocean Parade
Posh Hotel,Sydney,3,107,Australia,8 Broadway Chippendale
Q Station,Sydney,4,109,Australia,1 North Head Scenic Drive
Quay West Resort Magenta Shores,Magenta (New South Wales),5,254,Australia,1 Magenta Drive
Simpsons of Potts Point Hotel,Sydney,4,294,Australia,8 Challis Avenue Potts Point
Stamford Grand North Ryde,Sydney,4,126,Australia,Corner Epping and Herring Roads North Ryde
Toowoon Bay Holiday Park,Toowoon Bay,3.5,99999,Australia,1 Koongara Street
Travellers Rest Backpackers Accomodation Sydney,Sydney,2,99999,Australia,156 Victoria Street Kings Cross
Hotel Regata Pichidangui,Pichidangui,3,99999,Chile,Costanera 301
Neruda Mar Suite Hotel,Vina del Mar,4,112,Chile,Av. Borgoño 16180
Posada Salentein Hotel Mendoza,Mendoza,4,412,Argentina,Ruta 89 S/N.Tunuyan
Ritz Hotel Mendoza,Mendoza,3,75,Argentina,Peru 1008
Xumec Apart Hotel,Mendoza,3,99999,Argentina,Mitre 1490
Barranca del Indio,Villa de Merlo,2.5,99999,Argentina,Ramon Liendo 1325
Estacion Callao Hotel,Rosario,3,99999,Argentina,Callao 117 Bis
Seaside Cottages Paternoster,Paternoster,4,89,South Africa,Paternoster Western Cape
36 on Bonza,East London,4,100,South Africa,36 Bonza Bay Road Beacon Bay
Oakhampton Bed & Breakfast East London,East London,4,99999,South Africa,8 Oakhampton Road Berea
Comfort Suites Beachside Apts,Perth,3,99999,Australia,57 Rockingham Beach Road
Coranda Lodge B & B,Perth,3,154,Australia,73 Twelfth Road Haynes
Lazy River Boutique Bed and Breakfast,Pinjarra,4,358,Australia,9 Wilson Rd WA 6208
Quest Harbour Village Apartments Perth,Perth,3.5,99999,Australia,43 Mews Road Fremantle
Rottnest Island Authority Hostel,Rottnest Island,2,49,Australia,Kingstown Road
Econo Lodge Fountain View,Dubbo,3,107,Australia,113-115 Cobra Street
BEST WESTERN Wanderlight Motor Inn,Mudgee,3.5,129,Australia,107 Market Street
Wildwood Guesthouse,Putta Bucca,4,99999,Australia,Henry Lawson Drive
Lansallos B&B,Lithgow,3,99999,Australia,11 Brymair Road Bogee
BEST WESTERN Travellers Motor Village,Newcastle,3.5,108,Australia,295 Maitland Road
Gemelli Estate,Rothbury (Australia),4,99999,Australia,168 Palmers Lane
Grand Mercure The Vintage Hunter Valley,Rothbury (Australia),4.5,244,Australia,Vintage Drive Hunter Valley
Harbourside Apartments Newcastle,Newcastle,3,154,Australia,Linwood Street & The Lane Maryville
Newcastle Heights Motel,Newcastle,3,97,Australia,270 Pacific Highway
Willow Tree Estate Accommodation Pokolbin,Pokolbin,4,99999,Australia,96 Mistletoe Lane
Halifax Holiday Park Accommodation Port Stephens,Port Stephens,4,117,Australia,5 Beach Road Nelson Bay
Wanderers Retreat Port Stephens,Port Stephens,3.5,138,Australia,7 Koala Place (formerly 32 Eucalyptus Drive) One Mile Beach
Gran Savoy Hotel,Cordoba (Argentina),3,99999,Argentina,Jerónimo Luis De Cabrera 201
Hotel Alpre,Villa Carlos Paz,4,99999,Argentina,Av. San Martin 1035
Oma Paula Hotel,Villa Carlos Paz,2,99999,Argentina,El Prado 412 (Ex 22)
Maran Suites & Towers,Parana,4,99999,Argentina,Rivadavia Y Mitre
Bungalows El Puente,Salto,2,99999,Uruguay,Calle 6 y Circunvalación
Comfort Inn Wentworth Plaza,Perth,3.5,126,Australia,300 Murray Street
Rottnest Island Authority Thompson Bay South Villas,Rottnest Island,3,138,Australia,Vlamingh Way
Rydges Perth,Perth,4,152,Australia,Cnr Hay And King Streets
Sunset Waters Hotel Scarborough,Perth,3.5,133,Australia,38 Filburn Street Scarborough WA 6019 Australia
Chapel Farm Getaways Accommodation Perth,Perth,3,99999,Australia,231 Toodyay Road Middle Swan
Flinders Ranges Caravan Park Cabins Hawker,Hawker,4,99999,Australia,Carpenter Road SA 5434
Orana Windmill Motel,Gilgandra,3.5,101,Australia,36 Warren Road (Oxley Highway)
Azura Beach House B&B,Port Macquarie,4.5,122,Australia,109 Pacific Drive
Kundabung Motor Inn,Kundabung,3,99999,Australia,9 Smiths Creek Road
Sundowner Breakwall Tourist Park,Port Macquarie,3.5,99999,Australia,1 Munster Street
The Observatory,Port Macquarie,4.5,122,Australia,40 William Street
Vacation Village,Port Macquarie,3.5,99999,Australia,50 Settlement Point Road
Hosteria Valle Fertil,San Agustin de Valle Fertil,1.5,99999,Argentina,Rivadavia S/N Valle Fertil
Kuntur Hotel,Capilla del Monte,3,99999,Argentina,Falucho 121
La Guarida Hotel,Capilla del Monte,3,99999,Argentina,Los Terrones 1008
Ornatus Palace Hotel,Porto Alegre,3,57,Brazil,Rua General Vitorino 146
Plaza Sao Rafael Hotel,Porto Alegre,5,158,Brazil,Av. Alberto Bins 514
Porto Alegre City Hotel,Porto Alegre,3,131,Brazil,Rua Dr. Jose Montaury 20
305 on Ipahla Bed & Breakfast Amanzimtoti,Amanzimtoti,4,99999,South Africa,305 Ipahla Road Athlone Park
Blue Marlin,Scottburgh,3,99999,South Africa,180 Scott Street
Comfort Inn Midas,Kalgoorlie-Boulder,3.5,162,Australia,409 Hannan Street
Kalgoorlie Overland Motel,Kalgoorlie-Boulder,3.5,99999,Australia,566 Hannan Street
Acacia Motor Inn Armidale,Armidale,3.5,99999,Australia,192 Miller Street
Jacaranda Country Lodge,Congarinni North,4,99999,Australia,292 Wilson Road
Allambie Boutique Apartments Coffs Harbour,Coffs Harbour,3.5,99999,Australia,22 Camperdown Street
Aquajet Motel,Coffs Harbour,3,91,Australia,49 Park Beach Road
BEST WESTERN Parkside Motor Inn,Coffs Harbour,3.5,163,Australia,14-16 Elizabeth Street
Chelsea Motor Inn,Coffs Harbour,3,90,Australia,106 Grafton Street
Coastwatch Bed n Breakfast Coffs Harbour,Coffs Harbour,4,118,Australia,6A Coastwatch Close Korora
Lilypond Apartments Coffs Harbour,Coffs Harbour,4,99999,Australia,95 James Small Drive Korora
Novotel Coffs Harbour Pacific Bay Resort,Coffs Harbour,4,150,Australia,Cnr Pacific Hwy and Bay Drive
Sandcastles Holiday Units,Coffs Harbour,3,108,Australia,63 Ocean Parade
The Waterside Cabins Woolgoolga,Woolgoolga,4,99999,Australia,8 Hearnes Lake Road
Tradewinds Apartments Coffs Harbour,Coffs Harbour,3,102,Australia,77 Ocean Parade
Hotel Express Canoas,Canoas,3,65,Brazil,Avenida Getulio Vargas 5075
Hotel Alpestre,Gramado,4,99999,Brazil,Rua Leopoldo Rosenfeldt 67 - Planalto
Hotel Ritta Hoppner,Gramado,3,180,Brazil,Rua Pedro Candiago 364
Mountain Village,Canela,5,182,Brazil,Rua das Flores 222
Roseland House,Durban,4,76,South Africa,291 Davenport/Helen Joseph Road Glenwood
Sicas Guest House,Durban,4,87,South Africa,19 Owen Avenue PO Box 30059 Mayville
8 Wedgewood Terrace Apartment Umhlanga,Umhlanga,4,144,South Africa,27 Newlands Drive (Cnr Lagoon Drive)
Forest Suites at Zimbali,Ballito,5,178,South Africa,Port Zimbali Dolphin Coast
Mesami Hotel,Durban,4,66,South Africa,28 Currie Road
Regal Inn Ballito,Ballito,1,99999,South Africa,1 Saayman Close
Sandyridge Bed and Breakfast Umhlanga,Umhlanga,4,66,South Africa,85 Ridge Road
Dongara Denison Beach Holiday Park,Dongara,4,99999,Australia,250 Ocean Drive
Opal Inn,Coober Pedy,3,118,Australia,Hutchinson Street
New England Motor Lodge,Glen Innes,3.5,133,Australia,160 Church Street
Jacaranda Motor Lodge,Grafton,3.5,102,Australia,Pacific Highway
Moby Dick Waterfront Resort Motel,Yamba,4,144,Australia,27-29 Yamba Road
Cascade Garden Apartments Norfolk Island,Norfolk Island,3,101,Norfolk Island,New Cascade Road
Cabanas Areias,Imbituba,1,43,Brazil,Av. Central Praia do Rosa s/n
Pousada Morada dos Bougainvilles Imbituba,Imbituba,3,99999,Brazil,Caminho do Alto do Morro s/n°
Ravena Cassino Hotel,Laguna (Brazil),4,99999,Brazil,Av. Rio Grande do Sul 700 Praia do Mar Grosso
Tradewinds Country Inn,Mtunzini,3,99999,South Africa,12 Hely Hutchinson Road
Dumazulu Lodge Hluhluwe,Hluhluwe,3,88,South Africa,Lot H29 Bushlands Road
Hillton Manor,Richards Bay,4,99999,South Africa,37 Shad Shoal Street
Protea Hotel Hluhluwe & Safaris,Hluhluwe,3,49,South Africa,104 Main Road PO Box 92
Aegean Apartments Gold Coast,Gold Coast,4,136,Australia,30 Laycock Street
Azabu Guest House Byron Bay,Byron Bay,4,247,Australia,317 Skinners Shoot Road
Ballina Beach Village,Empire Vale,3,99999,Australia,440 South Ballina Beach Road
Baystay Bed & Breakfast,Byron Bay,3,119,Australia,30 Marvell Street
BEST WESTERN Broadbeach Travel Inn Apartments,Gold Coast,3,104,Australia,2651 Gold Coast Highway
BEST WESTERN Portobello Resort Apartments,Gold Coast,3,101,Australia,2607 Gold Coast Highway
Blue Water on the Beach Villas Byron Bay,Byron Bay,4,99999,Australia,3 Don Street
Bundaleer Retreat,Broken Head,4,151,Australia,1 Bundaleer Rd
Byron Bay Beachfront Apartments,Byron Bay,4,223,Australia,39-41 Lawson St
Carmel By The Sea,Gold Coast,4,178,Australia,177 Old Burleigh Road Broadbeach
Cashelmara Beachfront Apartments Gold Coast,Gold Coast,4,180,Australia,170 The Esplanade Burleigh Heads
Cossies Apartment Byron Bay,Byron Bay,4,113,Australia,45 Shirley Street
Gaia Retreat & Spa,Brooklet,4,99999,Australia,933 Fernleigh Road
Jubilee Views Holiday Apartments Gold Coast,Gold Coast,4,99999,Australia,16 Jubilee Avenue Broadbeach
Julians Apartments Byron Bay,Byron Bay,4,130,Australia,124 Lighthouse Road
Kirra Palms Apartments Gold Coast,Gold Coast,3,82,Australia,102-112 Musgrave Street Kirra
Koala Cove Holiday Apartments,Gold Coast,3,71,Australia,16 Djerral ave
Lyrebird Motel Mullumbimby,Mullumbimby,3,99999,Australia,68 Dalley Street
Marrakesh Resort Apartments,Gold Coast,4.5,93,Australia,198 Surf Parade
Mermaid Beach Park View Apartment Gold Coast,Gold Coast,3,94,Australia,40-44 Ventura Road Mermaid Beach
Paradise Towers Apartments Gold Coast,Gold Coast,2,79,Australia,3049 Surfers Paradise Boulevard Surfers Paradise
San Chelsea Beachfront Apartments Gold Coast,Gold Coast,3,117,Australia,146 Pacific Parade
Sanctuary Lake Apartments Gold Coast,Gold Coast,4,81,Australia,1/40 Teemangum Street Currumbin
Talisman Apartments,Gold Coast,4,139,Australia,67 Broadbeach Boulevard Broadbeach
The Lower Decks,Byron Bay,3.5,99999,Australia,20a Palm Valley Dve Wategos Beach
Alto Rio Hondo,Termas de Rio Hondo,2,86,Argentina,Gorostiaga 62
Biz Hotel,Fraiburgo,3,99999,Brazil,Rua das Hortencias 265
Belluno Apart Hotel,Florianopolis,3,54,Brazil,Rua Leonel Pereira 78
Jurere Beach Village Hotel Florianopolis,Florianopolis,5,112,Brazil,Alameda Cesar Nascimento 646
Mar de Canasvieiras Hotel e Eventos,Florianopolis,4,36,Brazil,Av Madre Villac 2017 Rua dos Eucaliptus
Pousada Atlantique Florianopolis,Florianopolis,3,59,Brazil,Rua Mercurio 179
Pousada do Beijaflor,Florianopolis,2.5,49,Brazil,Rua Hypolito Gregorio Pereira 567
Pousada do Lima Florianopolis,Florianopolis,3,57,Brazil,Rua Osni Ortiga 3060
Pousada Ilha do Papagaio Palhoca,Palhoca,5,99999,Brazil,Ilha do Papagaio - Praia do Sonho
Pousada Mar Do Leste,Florianopolis,3,59,Brazil,Dorvalina Carolina Florindo 37
Torres Da Cachoeira Hotel Florianopolis,Florianopolis,4,113,Brazil,Av. Luiz Boiteux Piazza 3991
Canon Lodge Fish River Canyon,Fish River Canyon,3,225,Namibia,Gondwana Canon Park Kalahari Keetmashoop
BEST WESTERN Applegum Inn,Toowoomba,3.5,98,Australia,41 Margaret Street
Tudor Lodge Motel Toowoomba,Toowoomba,3.5,99999,Australia,2 Scott Street
Branell Homestead Bed & Breakfast,Laidley,4,128,Australia,12 Paroz Road
Taringa Gardens Apartments,Brisbane,2.5,99999,Australia,Cnr Moggill and Waverley Roads Taringa
AAA Lancaster Court Motel,Brisbane,3,126,Australia,521 Ipswich Road Annerley
Ashmore Palms Holiday Village,Gold Coast,3.5,103,Australia,71 Hinde Street Ashmore
Avon Lodge Bed & Breakfast,Bribie Island,4,99999,Australia,132 Avon Avenue Banksia Beach
Brisbane City YHA,Brisbane,4,32,Australia,392 Upper Roma Street
Broadwater Keys Holiday Apartment Gold Coast,Gold Coast,3,66,Australia,125 Frank Street Labrador
Central Brunswick Hotel,Brisbane,4,132,Australia,455 Brunswick Street Fortitude Valley
Central Cosmo Apartments,Brisbane,4,138,Australia,60 Park Road Milton
Champelli Palms Luxury Apartments Gold Coast,Gold Coast,3,80,Australia,12 Whiting Street Labrador Gold Coast
Chateau Beachside Resort Gold Coast,Gold Coast,3.5,88,Australia,Corner Esplanade & Elkhorne Avenue Surfers Paradise
Crystal Bay On The Broadwater Apartments Gold Coast,Gold Coast,4,101,Australia,182 Marine Parade Southport
Cypress Avenue Apartments,Gold Coast,3.5,99999,Australia,33 Cypress Avenue Surfers Paradise
Domain Serviced Apartments Brisbane,Brisbane,4,1983,Australia,110 Racecourse Road Ascot
FV4006 Apartments,Brisbane,4,113,Australia,2 Berwick St Fortitude Valley
Golden Shores Holiday Club,Gold Coast,4,99999,Australia,210 Marine Parade
Homely Houses Cairns Street Brisbane,Brisbane,3,99999,Australia,15 Cairns Street
Meriton Serviced Apartments Adelaide Street Brisbane,Brisbane,5,142,Australia,485 Adelaide Street (between Macrossan & Boundary Street)
Oaks Charlotte Towers,Brisbane,4,107,Australia,128 Charlotte Street
Pethers Rainforest Retreat,Mount Tamborine,4.5,304,Australia,28b Geissmann Street North Tamborine
Southport Waters,Gold Coast,3,99999,Australia,2 Barney Street
Spicers Balfour Hotel,Brisbane,5,287,Australia,37 Balfour Street
Surfers Paradise Marriott Resort Hotel Gold Coast,Gold Coast,5,188,Australia,158 Ferny Avenue
The Docks On Goodwin Apartments,Brisbane,4,169,Australia,15 Goodwin Street Kangaroo Point
The Sebel King George Square Brisbane,Brisbane,4,168,Australia,Corner Ann & Roma Street
Witches Falls Cottages,Mount Tamborine,4,278,Australia,Cnr Main Western Road & Hartley Road North Tamborine
Woodduck Backpackers,Brisbane,2,22,Australia,390 Upper Roma Street
Catalinas Park Hotel,San Miguel de Tucuman,5,121,Argentina,Av. Soldati 380
Hotel Mediterraneo San Miguel de Tucuman,San Miguel de Tucuman,3,81,Argentina,24 De Setiembre 364
Villa Vicuna,Cafayate,4,155,Argentina,Belgrano 76
Afrique Boutique Ruimsig,Johannesburg,4,114,South Africa,343 Equestrian Road Ruimsig (Westrand) Roodepoort
Kapstok Guest House Parys,Parys,3,99999,South Africa,55 Kruis Street
The Inn On Pine Guest House Johannesburg,Johannesburg,5,84,South Africa,267 Pine Avenue Ferndale
Ascot Hotel Johannesburg,Johannesburg,4,76,South Africa,59 Grant Avenue Norwood
Bryan Manor Guest House,Johannesburg,4,99999,South Africa,34 Queens Road Bryanston
City Lodge - Sandton/Morningside,Johannesburg,3,109,South Africa,Corner Hill and Rivonia Roads Morningside Sandton
Claires Of Sandton,Johannesburg,4,82,South Africa,42 8th Street Parkmore Sandton
Crowthorne Corporate Resort,Johannesburg,1,99999,South Africa,Whisken Road Midrand
Formula 1 Hotel Johannesburg Edenvale,Edenvale,1,99999,South Africa,103 Boeing Road East
Foxwood House Hotel Johannesburg,Johannesburg,3,99999,South Africa,13 5th Street Houghton
Garden Court Eastgate,Johannesburg,3,163,South Africa,Ernest Oppenheimer Avenue Bruma
Goodnight Guest Lodge and Conference Centre,Bedfordview,3,99999,South Africa,13 Arterila Road West
Impangele,Benoni,2,101,South Africa,8 The Drive
Intercontinental Airport Sun,Kempton Park,5,433,South Africa,Box 200jhb International Airport
InterContinental Johannesburg Sandton Towers,Johannesburg,5,249,South Africa,Corner of Maude and 5th Streets
Khwai River Resort,Johannesburg,2,99999,South Africa,34 Victoria Road Sandton
Midrand Conference Centre,Johannesburg,4,85,South Africa,661 Pendulum Road Halfway House Ext 12 Midrand
President Lodge,Edenvale,4,71,South Africa,9 President Road Eastleigh
Rustic Rose Guest House,Boksburg,4,74,South Africa,63 Venus Street Atlasville
Sandton Boutique Hotel - 28A On Oxford,Johannesburg,4,108,South Africa,28 A Oxford Avenue Sandhurst
Sandton Sun,Johannesburg,5,184,South Africa,Corner Fifth and Alice Streets Sandton
Sunnyside Park Hotel,Johannesburg,4,72,South Africa,Princess of Wales Terrace Parktown
Surreal Eco Boutique Hotel & Spa,Johannesburg,4,99999,South Africa,18 Old Kilcullen Road Bryanston
The Fairlawns Boutique Hotel & Spa,Johannesburg,5,233,South Africa,Alma Road (Off Bowling Avenue) Morningside Manor Ext 6 Sandton
The Nicol Hotel Bedfordview,Bedfordview,3,94,South Africa,Nicol Street
Town Lodge Sandton-Grayston Drive,Johannesburg,3,89,South Africa,Corner Grayston Drive and Webber Road Sandown Sandton
Hawane Resort,Mbabane,3,123,Swaziland,209 Timbatine Farm Road
